Gene1	Gene2	EdgeWeight
CA2	RTKN2	0.01174884
ASB4	RTKN2	0.010059888
LRRCC1	RTKN2	0.009990664
TNFRSF11B	TRERF1	0.009906097
ISL1	TRERF1	0.0097556515
SOX17	TRERF1	0.009730387
CA2	NDC80	0.009718356
CA2	TTK	0.0093426285
LGR5	TRERF1	0.009315347
CA2	NCAPG	0.009266143
DNA2	RTKN2	0.009187485
BLM	RTKN2	0.009182266
RAB31	RTKN2	0.009053192
JUND	CAMK2D	0.008729492
ERCC6L	RTKN2	0.008698909
GLIPR2	RTKN2	0.008599738
COMMD10	ZEB1	0.008564262
CA2	BUB1B	0.008501697
PIK3R5	RIPPLY1	0.008482762
PIK3R5	TAF1L	0.008468705
ASB4	TTK	0.008458682
DAAM1	NFIA	0.008427852
CDC7	RTKN2	0.00826669
KAT7	ZEB1	0.008264482
CLGN	RTKN2	0.008090057
CBFA2T2	ZEB1	0.008018346
PARN	ZEB1	0.007931456
SYNE2	NFIA	0.007883263
FARSB	NFIA	0.007794394
HLA-DQB1	RTKN2	0.007791823
SIX6	TRERF1	0.007759244
CLDN10	RTKN2	0.007757434
WDHD1	RTKN2	0.007730002
PPP1R9A	ZEB1	0.007682843
FAM117B	ZEB1	0.0076468624
ASB4	EXO1	0.007643891
SFPQ	CAMK2D	0.007639743
NEDD9	PELI2	0.0076099127
KLF6	CAMK2D	0.0076071066
APC	ZEB1	0.007605388
EXO1	RTKN2	0.007569744
NCOA6	ZEB1	0.0075661237
ANKRD13C	ZEB1	0.007563383
NR2C1	ZEB1	0.007549125
ASB4	NCAPG	0.0075376583
JMJD1C	NFIA	0.0075099394
CA2	EXO1	0.007509868
TRAPPC8	ZEB1	0.0075041614
ASS1	RTKN2	0.0074911728
TTK	RTKN2	0.0074797
HNRNPD	CAMK2D	0.0074647847
WDFY1	ZEB1	0.007458952
KLF6	TRIM33	0.0074528856
JUND	POU2F1	0.0074380576
TNFRSF11B	PER3	0.0074285944
JUND	TRIM33	0.0074273143
FXR1	MAP4K3	0.007419542
DTL	RTKN2	0.007405686
ASB4	BUB1B	0.007390585
XRN1	ZEB1	0.007376422
TEAD4	TRERF1	0.0073459316
TCF4	NFIA	0.0073350854
TTC27	ZEB1	0.0073129074
RMI1	RTKN2	0.0073101195
GLRX	RTKN2	0.0072877677
KLHL6	RTKN2	0.0072818534
ESPL1	RTKN2	0.0072745
ATG4C	ZEB1	0.0072589857
CA2	CDCA2	0.0072516785
CREB3L4	RTKN2	0.0072461427
FBXO28	ZEB1	0.007234814
KLF6	MAP4K3	0.0072331354
GPC3	PER3	0.007215265
BMP4	PER3	0.00720633
GPC3	RTKN2	0.007186616
HNRNPK	CAMK2D	0.007184237
SF1	CAMK2D	0.007181689
CEP55	RTKN2	0.007171416
FARSB	ZEB1	0.0071709263
SOX17	PER3	0.0071585756
CDCA8	RTKN2	0.0071493713
LRRCC1	NDC80	0.0071468446
YAF2	CAMK2D	0.0071434835
ESRP1	TRERF1	0.00713723
KIF15	RTKN2	0.00713343
RNF19A	CAMK2D	0.007131677
LRRCC1	TTK	0.0071207667
NFATC3	ZEB1	0.0071070334
MFAP4	RTKN2	0.0071058217
SFPQ	POU2F1	0.007098029
BAG3	RTKN2	0.0070964
NEDD9	ZEB1	0.007090165
PLK1	RTKN2	0.0070818313
CA2	ERCC6L	0.0070782537
AFF4	MAP4K3	0.0070777587
ARL4D	RTKN2	0.007069462
FXR1	POU2F1	0.00706752
CEP85L	ZEB1	0.0070522497
FUS	CAMK2D	0.0070515275
APC	NFIA	0.007049897
JUND	SMAD2	0.0070469542
HNRNPD	POU2F1	0.0070461547
JUND	MAP4K3	0.0070434404
RHAG	RTKN2	0.0070201345
GPC3	MEIS1	0.007018771
WDR3	RTKN2	0.007006066
KLHL12	ZEB1	0.0070003723
GPC3	TRERF1	0.006992853
ISL1	RFPL2	0.006992759
BUB1B	RTKN2	0.0069922702
HNRNPD	MAP4K3	0.0069883564
LRRCC1	NCAPG	0.0069835754
ASB4	NDC80	0.00697656
SOS2	ZEB1	0.0069489875
CSDE1	POU2F1	0.00694333
SNAPC3	ZEB1	0.0069320095
CLDN10	PER3	0.006916891
ETV7	TRERF1	0.006913619
COMMD10	MLLT3	0.0069104815
KAT7	MEIS2	0.0069052335
LRRCC1	BUB1B	0.0069035403
GPSM2	RTKN2	0.0069031343
FAM135A	ZEB1	0.0069011836
ELMOD2	ZEB1	0.0068980595
BLM	TTK	0.0068919817
SKA3	RTKN2	0.006890068
ZNF146	ZEB1	0.006888822
ZNF398	ZEB1	0.0068874103
RBPJ	NFIA	0.006883703
SFPQ	TRIM33	0.0068825963
ATF6	ZEB1	0.006874172
BMPR1A	ZEB1	0.006865307
