Dataset,Model,Nodes,Edges,Average_Degree,Assortativity,Average_Clustering_Coefficient
hESC,STRING_real,517,4257,16.4681,0.017,0.3708
hESC,Geneformer,261,4257,32.6207,0.2222,0.3236
hESC,GENIE3,516,4257,16.5,-0.2219,0.1988
hESC,LangCell,95,4257,89.6211,-0.2618,0.8445
hESC,scGPT,362,4257,23.5193,-0.3311,0.2151
hESC,scCello,445,4257,19.1326,0.1721,0.2098
hESC,scPrint,326,4257,26.1166,-0.2482,0.4269
hHep,STRING_real,656,7523,22.936,0.008,0.3956
hHep,Geneformer,374,7523,40.2299,0.6326,0.3896
hHep,GENIE3,656,7523,22.936,-0.1357,0.1568
hHep,LangCell,135,7523,111.4519,-0.3564,0.8406
hHep,scGPT,430,7523,34.9907,-0.2475,0.2781
hHep,scCello,640,7523,23.5094,-0.0076,0.4588
hHep,scPrint,385,7523,39.0805,-0.1776,0.4775
mDC,STRING_real,487,4815,19.7741,-0.0094,0.3768
mDC,Geneformer,271,4815,35.5351,0.7016,0.4055
mDC,GENIE3,465,4815,20.7097,-0.2762,0.0965
mDC,LangCell,189,4815,50.9524,-0.3352,0.4902
mDC,scGPT,298,4815,32.3154,-0.3416,0.2262
mDC,scCello,449,4815,21.4477,-0.125,0.1859
mDC,scPrint,285,4815,33.7895,-0.1636,0.062
mHSC-E,STRING_real,300,1371,9.14,0.1546,0.3563
mHSC-E,Geneformer,186,1371,14.7419,0.6889,0.4011
mHSC-E,GENIE3,285,1371,9.6211,-0.2462,0.3116
mHSC-E,LangCell,77,1371,35.6104,-0.4705,0.7397
mHSC-E,scGPT,170,1371,16.1294,-0.2924,0.466
mHSC-E,scCello,199,1371,13.7789,0.2533,0.2434
mHSC-E,scPrint,155,1371,17.6903,-0.2201,0.3621
mHSC-GM,STRING_real,206,748,7.2621,0.3649,0.3746
mHSC-GM,Geneformer,112,748,13.3571,0.7772,0.4699
mHSC-GM,GENIE3,180,748,8.3111,0.1316,0.2678
mHSC-GM,LangCell,47,748,31.8298,-0.3463,0.7069
mHSC-GM,scGPT,96,748,15.5833,-0.2972,0.4785
mHSC-GM,scCello,151,748,9.9073,0.3539,0.193
mHSC-GM,scPrint,92,748,16.2609,-0.1691,0.3141
mHSC-L,STRING_real,74,137,3.7027,0.0168,0.1986
mHSC-L,Geneformer,33,137,8.303,-0.0005,0.6624
mHSC-L,GENIE3,63,137,4.3492,0.3799,0.2249
mHSC-L,LangCell,23,137,11.913,-0.4822,0.553
mHSC-L,scGPT,43,137,6.3721,-0.365,0.2864
mHSC-L,scCello,41,137,6.6829,-0.1551,0.2572
mHSC-L,scPrint,42,137,6.5238,-0.0826,0.1976
