Dataset,Model,Nodes,Edges,Average_Degree,Average_In_Degree,Average_Out_Degree,Assortativity,Average_Clustering_Coefficient
hESC,STRING_real,517,4257,16.4681,8.234,8.234,0.017,0.3708
hESC,Geneformer,255,4257,33.3882,16.6941,16.6941,-0.1478,0.4504
hESC,GENIE3,516,4257,16.5,8.25,8.25,-0.2219,0.1988
hESC,LangCell,254,4257,33.5197,16.7598,16.7598,-0.1525,0.4617
hESC,scGPT,451,4257,18.878,9.439,9.439,0.2988,0.2926
hESC,scCello,499,4257,17.0621,8.5311,8.5311,0.3045,0.198
hESC,scPrint,383,4257,22.2298,11.1149,11.1149,0.3863,0.3958
hHep,STRING_real,656,7523,22.936,11.468,11.468,0.008,0.3956
hHep,Geneformer,337,7523,44.6469,22.3234,22.3234,-0.0577,0.4369
hHep,GENIE3,656,7523,22.936,11.468,11.468,-0.1357,0.1568
hHep,LangCell,336,7523,44.7798,22.3899,22.3899,-0.064,0.4378
hHep,scGPT,568,7523,26.4894,13.2447,13.2447,0.2434,0.3165
hHep,scCello,623,7523,24.1509,12.0754,12.0754,0.3369,0.2305
hHep,scPrint,486,7523,30.9588,15.4794,15.4794,0.3988,0.448
mDC,STRING_real,487,4815,19.7741,9.8871,9.8871,-0.0094,0.3768
mDC,Geneformer,202,4815,47.6733,23.8366,23.8366,-0.1604,0.5282
mDC,GENIE3,465,4815,20.7097,10.3548,10.3548,-0.2762,0.0965
mDC,LangCell,202,4815,47.6733,23.8366,23.8366,-0.1684,0.5279
mDC,scGPT,425,4815,22.6588,11.3294,11.3294,0.0025,0.3758
mDC,scCello,399,4815,24.1353,12.0677,12.0677,0.2378,0.2295
mDC,scPrint,366,4815,26.3115,13.1557,13.1557,0.3931,0.436
mHSC-E,STRING_real,300,1371,9.14,4.57,4.57,0.1546,0.3563
mHSC-E,Geneformer,142,1371,19.3099,9.6549,9.6549,-0.131,0.3872
mHSC-E,GENIE3,285,1371,9.6211,4.8105,4.8105,-0.2462,0.3116
mHSC-E,LangCell,140,1371,19.5857,9.7929,9.7929,-0.1424,0.3935
mHSC-E,scGPT,249,1371,11.012,5.506,5.506,0.4018,0.3137
mHSC-E,scCello,279,1371,9.828,4.914,4.914,0.2693,0.2419
mHSC-E,scPrint,197,1371,13.9188,6.9594,6.9594,0.3925,0.3672
mHSC-GM,STRING_real,206,748,7.2621,3.6311,3.6311,0.3649,0.3746
mHSC-GM,Geneformer,99,748,15.1111,7.5556,7.5556,-0.1492,0.3814
mHSC-GM,GENIE3,180,748,8.3111,4.1556,4.1556,0.1316,0.2678
mHSC-GM,LangCell,97,748,15.4227,7.7113,7.7113,-0.1421,0.3589
mHSC-GM,scGPT,155,748,9.6516,4.8258,4.8258,0.4624,0.327
mHSC-GM,scCello,190,748,7.8737,3.9368,3.9368,0.4042,0.218
mHSC-GM,scPrint,133,748,11.2481,5.6241,5.6241,0.4771,0.3807
mHSC-L,STRING_real,74,137,3.7027,1.8514,1.8514,0.0168,0.1986
mHSC-L,Geneformer,31,137,8.8387,4.4194,4.4194,-0.0602,0.3928
mHSC-L,GENIE3,63,137,4.3492,2.1746,2.1746,0.3799,0.2249
mHSC-L,LangCell,31,137,8.8387,4.4194,4.4194,-0.0657,0.3755
mHSC-L,scGPT,65,137,4.2154,2.1077,2.1077,0.3784,0.2825
mHSC-L,scCello,64,137,4.2812,2.1406,2.1406,0.2807,0.1527
mHSC-L,scPrint,57,137,4.807,2.4035,2.4035,0.1938,0.3276
