Dataset,Model,Nodes,Edges,Average_Degree,Assortativity,Average_Clustering_Coefficient
hESC,STRING_real,517,4257,16.4681,0.017,0.3708
hESC,Geneformer,255,4257,33.3882,-0.1478,0.4504
hESC,GENIE3,516,4257,16.5,-0.2219,0.1988
hESC,LangCell,254,4257,33.5197,-0.1525,0.4617
hESC,scGPT,451,4257,18.878,0.2988,0.2926
hESC,scCello,499,4257,17.0621,0.3045,0.198
hESC,scPrint,383,4257,22.2298,0.3863,0.3958
hESC,GRNBoost,517,4257,16.4681,-0.0656,0.5094
hESC,DeepSEM,454,4257,18.7533,-0.0892,0.3702
hHep,STRING_real,656,7523,22.936,0.008,0.3956
hHep,Geneformer,337,7523,44.6469,-0.0577,0.4369
hHep,GENIE3,656,7523,22.936,-0.1357,0.1568
hHep,LangCell,336,7523,44.7798,-0.064,0.4378
hHep,scGPT,568,7523,26.4894,0.2434,0.3165
hHep,scCello,623,7523,24.1509,0.3369,0.2305
hHep,scPrint,486,7523,30.9588,0.3988,0.448
hHep,GRNBoost,656,7523,22.936,-0.0831,0.5671
hHep,DeepSEM,647,7523,23.255,0.0238,0.381
mDC,STRING_real,487,4815,19.7741,-0.0094,0.3768
mDC,Geneformer,202,4815,47.6733,-0.1604,0.5282
mDC,GENIE3,465,4815,20.7097,-0.2762,0.0965
mDC,LangCell,202,4815,47.6733,-0.1684,0.5279
mDC,scGPT,425,4815,22.6588,0.0025,0.3758
mDC,scCello,399,4815,24.1353,0.2378,0.2295
mDC,scPrint,366,4815,26.3115,0.3931,0.436
mDC,GRNBoost,487,4815,19.7741,-0.0165,0.6775
mDC,DeepSEM,487,4815,19.7741,-0.3544,0.3402
mHSC-E,STRING_real,300,1371,9.14,0.1546,0.3563
mHSC-E,Geneformer,142,1371,19.3099,-0.131,0.3872
mHSC-E,GENIE3,285,1371,9.6211,-0.2462,0.3116
mHSC-E,LangCell,140,1371,19.5857,-0.1424,0.3935
mHSC-E,scGPT,249,1371,11.012,0.4018,0.3137
mHSC-E,scCello,279,1371,9.828,0.2693,0.2419
mHSC-E,scPrint,197,1371,13.9188,0.3925,0.3672
mHSC-E,GRNBoost,299,1371,9.1706,-0.0997,0.687
mHSC-E,DeepSEM,235,1371,11.6681,0.0895,0.5558
mHSC-GM,STRING_real,206,748,7.2621,0.3649,0.3746
mHSC-GM,Geneformer,99,748,15.1111,-0.1492,0.3814
mHSC-GM,GENIE3,180,748,8.3111,0.1316,0.2678
mHSC-GM,LangCell,97,748,15.4227,-0.1421,0.3589
mHSC-GM,scGPT,155,748,9.6516,0.4624,0.327
mHSC-GM,scCello,190,748,7.8737,0.4042,0.218
mHSC-GM,scPrint,133,748,11.2481,0.4771,0.3807
mHSC-GM,GRNBoost,206,748,7.2621,-0.1253,0.3757
mHSC-GM,DeepSEM,151,748,9.9073,0.4667,0.3511
mHSC-L,STRING_real,74,137,3.7027,0.0168,0.1986
mHSC-L,Geneformer,31,137,8.8387,-0.0602,0.3928
mHSC-L,GENIE3,63,137,4.3492,0.3799,0.2249
mHSC-L,LangCell,31,137,8.8387,-0.0657,0.3755
mHSC-L,scGPT,65,137,4.2154,0.3784,0.2825
mHSC-L,scCello,64,137,4.2812,0.2807,0.1527
mHSC-L,scPrint,57,137,4.807,0.1938,0.3276
mHSC-L,GRNBoost,71,137,3.8592,-0.1229,0.0794
mHSC-L,DeepSEM,50,137,5.48,0.4743,0.288
