Dataset,Model,Nodes,Edges,Source_Node_Count,Target_Node_Count,Average_Degree,Mean_Out_Degree_Source,Mean_In_Degree_Target,Assortativity,Average_Clustering_Coefficient
hESC,STRING_real,517,4257,343,511,16.4681,12.4111,8.3307,0.017,0.3708
hESC,Geneformer,258,4257,158,241,33.0,26.943,17.6639,-0.2284,0.4212
hESC,LangCell,231,4257,153,222,36.8571,27.8235,19.1757,0.1673,0.4307
hESC,scGPT,249,4257,176,243,34.1928,24.1875,17.5185,0.305,0.5084
hESC,scCello,435,4257,278,422,19.5724,15.3129,10.0877,0.2719,0.3069
hESC,scFoundation,116,4257,86,115,73.3966,49.5,37.0174,0.3001,0.6773
hESC,scPrint,439,4257,297,433,19.3941,14.3333,9.8314,0.398,0.3751
hHep,STRING_real,656,7523,409,646,22.936,18.3936,11.6455,0.008,0.3956
hHep,Geneformer,274,7523,167,264,54.9124,45.0479,28.4962,-0.3149,0.584
hHep,LangCell,448,7523,284,441,33.5848,26.4894,17.059,0.0351,0.4592
hHep,scGPT,400,7523,253,395,37.615,29.7352,19.0456,0.2196,0.4646
hHep,scCello,548,7523,318,543,27.4562,23.6572,13.8545,0.2392,0.3427
hHep,scFoundation,169,7523,46,169,89.0296,163.5435,44.5148,-0.0387,0.8428
hHep,scPrint,558,7523,352,545,26.9642,21.3722,13.8037,0.5695,0.3701
mDC,STRING_real,487,4815,264,479,19.7741,18.2386,10.0522,-0.0094,0.3768
mDC,Geneformer,150,4815,108,149,64.2,44.5833,32.3154,-0.3404,0.6371
mDC,LangCell,374,4815,220,369,25.7487,21.8864,13.0488,-0.019,0.4306
mDC,scGPT,315,4815,189,310,30.5714,25.4762,15.5323,-0.0186,0.5335
mDC,scCello,360,4815,206,346,26.75,23.3738,13.9162,-0.0315,0.36
mDC,scFoundation,170,4815,29,170,56.6471,166.0345,28.3235,-0.0916,0.8783
mDC,scPrint,352,4815,234,346,27.358,20.5769,13.9162,0.2491,0.3868
mHSC-E,STRING_real,300,1371,156,291,9.14,8.7885,4.7113,0.1546,0.3563
mHSC-E,Geneformer,112,1371,63,103,24.4821,21.7619,13.3107,-0.2527,0.4949
mHSC-E,LangCell,165,1371,88,158,16.6182,15.5795,8.6772,0.0922,0.3803
mHSC-E,scGPT,172,1371,92,168,15.9419,14.9022,8.1607,0.3877,0.4399
mHSC-E,scCello,250,1371,126,244,10.968,10.881,5.6189,0.0541,0.2571
mHSC-E,scFoundation,112,1371,13,112,24.4821,105.4615,12.2411,-0.1711,0.9078
mHSC-E,scPrint,241,1371,129,234,11.3776,10.6279,5.859,-0.0013,0.3243
mHSC-GM,STRING_real,206,748,92,201,7.2621,8.1304,3.7214,0.3649,0.3746
mHSC-GM,Geneformer,105,748,51,94,14.2476,14.6667,7.9574,-0.1543,0.405
mHSC-GM,LangCell,119,748,60,115,12.5714,12.4667,6.5043,0.0589,0.3423
mHSC-GM,scGPT,132,748,66,128,11.3333,11.3333,5.8438,0.0864,0.4291
mHSC-GM,scCello,177,748,84,173,8.452,8.9048,4.3237,0.1044,0.2812
mHSC-GM,scFoundation,87,748,9,87,17.1954,83.1111,8.5977,-0.1471,0.9142
mHSC-GM,scPrint,164,748,76,160,9.122,9.8421,4.675,-0.0827,0.3283
mHSC-L,STRING_real,74,137,39,70,3.7027,3.5128,1.9571,0.0168,0.1986
mHSC-L,Geneformer,26,137,17,24,10.5385,8.0588,5.7083,-0.2938,0.515
mHSC-L,LangCell,44,137,24,41,6.2273,5.7083,3.3415,0.2173,0.2846
mHSC-L,scGPT,43,137,21,41,6.3721,6.5238,3.3415,0.2142,0.493
mHSC-L,scCello,52,137,29,45,5.2692,4.7241,3.0444,0.5201,0.1838
mHSC-L,scFoundation,29,137,17,29,9.4483,8.0588,4.7241,-0.0417,0.5603
mHSC-L,scPrint,58,137,34,54,4.7241,4.0294,2.537,0.0724,0.3221
