Dataset,Model,Extraction,Modularity,EdgesUsed,Path
hESC,Geneformer,emb500,0.140771812965677,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_emb500/geneformer/geneformer_hESC.tsv
hESC,Geneformer,att500,0.10450706947038206,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_att500/geneformer/geneformer_hESC.tsv
hESC,Geneformer,embhidden500,0.1345045209333397,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_embhidden500/geneformer/geneformer_hESC.tsv
hESC,LangCell,emb500,0.13658014604838692,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_emb500/langcell/LangCell_hESC.tsv
hESC,LangCell,att500,0.03616304329430613,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_att500/langcell/LangCell_hESC.tsv
hESC,LangCell,embhidden500,0.2138071564118303,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_embhidden500/Langcell/Langcell_hESC.tsv
hESC,scGPT,emb500,0.5751730756657557,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_emb500/scgpt/scgpt_hESC.tsv
hESC,scGPT,att500,0.1622407850436843,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_att500/scgpt/scgpt_hESC.tsv
hESC,scGPT,embhidden500,0.5063902595369776,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_embhidden500/scgpt/scGPT_hESC.tsv
hESC,scCello,emb500,0.4615964593740427,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_emb500/sccello/scCello_hESC.tsv
hESC,scCello,att500,0.4570638351795624,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_att500/sccello/scCello_hESC.tsv
hESC,scCello,embhidden500,0.4694234669988205,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_embhidden500/sccello/scCello_hESC.tsv
hESC,scFoundation,emb500,0.27574816636868815,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_emb500/scFoundation/scFoundation_hESC.tsv
hESC,scFoundation,att500,0.242209691465864,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_att500/scFoundation/scFoundation_hESC.tsv
hESC,scFoundation,embhidden500,0.16378477356587112,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_embhidden500/scFoundation/scFoundation_hESC.tsv
hESC,scPrint,emb500,0.46309294323052963,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_emb500/scprint/scprint_hESC.tsv
hESC,scPrint,att500,0.21316308773692286,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_att500/scprint/scprint_hESC.tsv
hESC,scPrint,embhidden500,0.5790019339814059,4257,/mnt/10T/yzn/benchmark_GRN/evl_omipath/output_embhidden500/scprint/scprint_hESC.tsv
