Method,Percent,Precision,TrueEdgesTotal,PredEdgesTotal,OriginalPredEdges,BasicFilteredEdges
emb500,1.0,0.249856,4257,174080,719952,719952
emb500,1.5,0.19487,4257,174080,719952,719952
emb500,2.0,0.160253,4257,174080,719952,719952
emb500,2.5,0.142004,4257,174080,719952,719952
emb500,3.0,0.127513,4257,174080,719952,719952
emb500,3.5,0.116691,4257,174080,719952,719952
emb500,4.0,0.108415,4257,174080,719952,719952
emb500,8.0,0.074316,4257,174080,719952,719952
embhidden500,1.0,0.145759,4257,167328,699732,699732
embhidden500,1.5,0.127092,4257,167328,699732,699732
embhidden500,2.0,0.114431,4257,167328,699732,699732
embhidden500,2.5,0.104685,4257,167328,699732,699732
embhidden500,3.0,0.099004,4257,167328,699732,699732
embhidden500,3.5,0.094417,4257,167328,699732,699732
embhidden500,4.0,0.091575,4257,167328,699732,699732
embhidden500,8.0,0.071114,4257,167328,699732,699732
att500,1.0,0.020904,4257,176988,827190,827190
att500,1.5,0.023729,4257,176988,827190,827190
att500,2.0,0.021751,4257,176988,827190,827190
att500,2.5,0.021017,4257,176988,827190,827190
att500,3.0,0.022787,4257,176988,827190,827190
att500,3.5,0.022276,4257,176988,827190,827190
att500,4.0,0.022175,4257,176988,827190,827190
att500,8.0,0.023517,4257,176988,827190,827190
