Source,Target,Type,Source_Type,Target_Type
MYC,APEX1,MYC_regulation,Master_TF,MYC_Target_TF
MYC,ILF2,MYC_regulation,Master_TF,MYC_Target_TF
MYC,RNPS1,MYC_regulation,Master_TF,MYC_Target_TF
MYC,SNRPD1,MYC_regulation,Master_TF,MYC_Target_TF
MYC,SSB,MYC_regulation,Master_TF,MYC_Target_TF
APEX1,YBX1,TF_regulation,MYC_Target_TF,Downstream_Target
APEX1,XRCC5,TF_regulation,MYC_Target_TF,Downstream_Target
ILF2,SRSF1,TF_regulation,MYC_Target_TF,Downstream_Target
ILF2,RBM14,TF_regulation,MYC_Target_TF,Downstream_Target
ILF2,SFPQ,TF_regulation,MYC_Target_TF,Downstream_Target
ILF2,SRSF3,TF_regulation,MYC_Target_TF,Downstream_Target
ILF2,XRCC5,TF_regulation,MYC_Target_TF,Downstream_Target
ILF2,HNRNPK,TF_regulation,MYC_Target_TF,Downstream_Target
ILF2,ALYREF,TF_regulation,MYC_Target_TF,Downstream_Target
ILF2,U2AF1,TF_regulation,MYC_Target_TF,Downstream_Target
ILF2,ILF3,TF_regulation,MYC_Target_TF,Downstream_Target
ILF2,RBMX,TF_regulation,MYC_Target_TF,Downstream_Target
RNPS1,POLR2I,TF_regulation,MYC_Target_TF,Downstream_Target
RNPS1,SRSF6,TF_regulation,MYC_Target_TF,Downstream_Target
RNPS1,FUS,TF_regulation,MYC_Target_TF,Downstream_Target
RNPS1,SRSF1,TF_regulation,MYC_Target_TF,Downstream_Target
RNPS1,POLR2D,TF_regulation,MYC_Target_TF,Downstream_Target
RNPS1,POLR2G,TF_regulation,MYC_Target_TF,Downstream_Target
RNPS1,HNRNPD,TF_regulation,MYC_Target_TF,Downstream_Target
RNPS1,POLR2K,TF_regulation,MYC_Target_TF,Downstream_Target
RNPS1,RBMX,TF_regulation,MYC_Target_TF,Downstream_Target
RNPS1,YBX1,TF_regulation,MYC_Target_TF,Downstream_Target
RNPS1,SRSF3,TF_regulation,MYC_Target_TF,Downstream_Target
RNPS1,HNRNPK,TF_regulation,MYC_Target_TF,Downstream_Target
RNPS1,POLR2F,TF_regulation,MYC_Target_TF,Downstream_Target
RNPS1,POLR2H,TF_regulation,MYC_Target_TF,Downstream_Target
RNPS1,ALYREF,TF_regulation,MYC_Target_TF,Downstream_Target
SNRPD1,POLR2I,TF_regulation,MYC_Target_TF,Downstream_Target
SNRPD1,SRSF6,TF_regulation,MYC_Target_TF,Downstream_Target
SNRPD1,FUS,TF_regulation,MYC_Target_TF,Downstream_Target
SNRPD1,SRSF1,TF_regulation,MYC_Target_TF,Downstream_Target
SNRPD1,POLR2D,TF_regulation,MYC_Target_TF,Downstream_Target
SNRPD1,YBX1,TF_regulation,MYC_Target_TF,Downstream_Target
SNRPD1,POLR2G,TF_regulation,MYC_Target_TF,Downstream_Target
SNRPD1,SRSF3,TF_regulation,MYC_Target_TF,Downstream_Target
SNRPD1,HNRNPK,TF_regulation,MYC_Target_TF,Downstream_Target
SNRPD1,HNRNPD,TF_regulation,MYC_Target_TF,Downstream_Target
SNRPD1,ALYREF,TF_regulation,MYC_Target_TF,Downstream_Target
SNRPD1,POLR2H,TF_regulation,MYC_Target_TF,Downstream_Target
SNRPD1,POLR2F,TF_regulation,MYC_Target_TF,Downstream_Target
SNRPD1,POLR2K,TF_regulation,MYC_Target_TF,Downstream_Target
SNRPD1,RBMX,TF_regulation,MYC_Target_TF,Downstream_Target
SSB,SRSF1,TF_regulation,MYC_Target_TF,Downstream_Target
SSB,RBM14,TF_regulation,MYC_Target_TF,Downstream_Target
SSB,POLR2K,TF_regulation,MYC_Target_TF,Downstream_Target
SSB,SFPQ,TF_regulation,MYC_Target_TF,Downstream_Target
SSB,SRSF3,TF_regulation,MYC_Target_TF,Downstream_Target
SSB,HNRNPK,TF_regulation,MYC_Target_TF,Downstream_Target
SSB,ALYREF,TF_regulation,MYC_Target_TF,Downstream_Target
SSB,POLR2H,TF_regulation,MYC_Target_TF,Downstream_Target
SSB,U2AF1,TF_regulation,MYC_Target_TF,Downstream_Target
SSB,POLR2F,TF_regulation,MYC_Target_TF,Downstream_Target
SSB,ILF3,TF_regulation,MYC_Target_TF,Downstream_Target
