Gene,Layer,Type,Degree
MYC,0,Master_TF,5
APEX1,1,MYC_Target_TF,3
ILF2,1,MYC_Target_TF,11
RNPS1,1,MYC_Target_TF,16
SNRPD1,1,MYC_Target_TF,16
SSB,1,MYC_Target_TF,12
ILF3,2,Downstream_Target,2
POLR2H,2,Downstream_Target,3
POLR2D,2,Downstream_Target,2
HNRNPD,2,Downstream_Target,2
YBX1,2,Downstream_Target,3
RBM14,2,Downstream_Target,2
SRSF6,2,Downstream_Target,2
POLR2I,2,Downstream_Target,2
U2AF1,2,Downstream_Target,2
SRSF1,2,Downstream_Target,4
SFPQ,2,Downstream_Target,2
SRSF3,2,Downstream_Target,4
ALYREF,2,Downstream_Target,4
FUS,2,Downstream_Target,2
HNRNPK,2,Downstream_Target,4
XRCC5,2,Downstream_Target,2
POLR2G,2,Downstream_Target,2
RBMX,2,Downstream_Target,3
POLR2K,2,Downstream_Target,3
POLR2F,2,Downstream_Target,3
