Target_Gene,Regulating_TF_Count,Regulating_TFs
ALYREF,4,"ILF2,RNPS1,SNRPD1,SSB"
HNRNPK,4,"ILF2,RNPS1,SNRPD1,SSB"
SRSF1,4,"ILF2,RNPS1,SNRPD1,SSB"
SRSF3,4,"ILF2,RNPS1,SNRPD1,SSB"
POLR2F,3,"RNPS1,SNRPD1,SSB"
POLR2K,3,"RNPS1,SNRPD1,SSB"
RBMX,3,"ILF2,RNPS1,SNRPD1"
YBX1,3,"APEX1,RNPS1,SNRPD1"
POLR2H,3,"RNPS1,SNRPD1,SSB"
POLR2G,2,"RNPS1,SNRPD1"
XRCC5,2,"APEX1,ILF2"
FUS,2,"RNPS1,SNRPD1"
ILF3,2,"ILF2,SSB"
U2AF1,2,"ILF2,SSB"
POLR2I,2,"RNPS1,SNRPD1"
SRSF6,2,"RNPS1,SNRPD1"
RBM14,2,"ILF2,SSB"
HNRNPD,2,"RNPS1,SNRPD1"
POLR2D,2,"RNPS1,SNRPD1"
SFPQ,2,"ILF2,SSB"
