Gene1,Gene2,EdgeType,Source
PARP1,DNMT1,TF-Target,scGPT_emb500_filtered
PARP1,TCEA1,TF-Target,scGPT_emb500_filtered
PARP1,MCM5,TF-Target,scGPT_emb500_filtered
PARP1,SUPT16H,TF-Target,scGPT_emb500_filtered
PARP1,MCM3,TF-Target,scGPT_emb500_filtered
PARP1,MCM7,TF-Target,scGPT_emb500_filtered
PARP1,ILF3,TF-Target,scGPT_emb500_filtered
PARP1,XRCC5,TF-Target,scGPT_emb500_filtered
PARP1,GINS2,TF-Target,scGPT_emb500_filtered
PARP1,MCM6,TF-Target,scGPT_emb500_filtered
PARP1,SNRPD1,TF-TF,scGPT_emb500_filtered
PARP1,POLR2G,TF-Target,scGPT_emb500_filtered
PARP1,SSB,TF-TF,scGPT_emb500_filtered
PARP1,CDCA7L,TF-Target,scGPT_emb500_filtered
PARP1,EWSR1,TF-Target,scGPT_emb500_filtered
PARP1,MCM4,TF-Target,scGPT_emb500_filtered
PARP1,NONO,TF-TF,scGPT_emb500_filtered
PARP1,PSIP1,TF-Target,scGPT_emb500_filtered
PARP1,UBTF,TF-Target,scGPT_emb500_filtered
PARP1,CHAF1A,TF-Target,scGPT_emb500_filtered
PARP1,DEK,TF-Target,scGPT_emb500_filtered
PARP1,HMGA1,TF-Target,scGPT_emb500_filtered
PARP1,RNPS1,TF-TF,scGPT_emb500_filtered
PARP1,RBBP4,TF-Target,scGPT_emb500_filtered
PARP1,APEX1,TF-TF,scGPT_emb500_filtered
PARP1,MCM2,TF-Target,scGPT_emb500_filtered
PARP1,HNRNPD,TF-Target,scGPT_emb500_filtered
PARP1,PA2G4,TF-Target,scGPT_emb500_filtered
PARP1,SMARCC1,TF-Target,scGPT_emb500_filtered
PARP1,HNRNPAB,TF-Target,scGPT_emb500_filtered
PARP1,PRIM1,TF-Target,scGPT_emb500_filtered
PARP1,XRCC6,TF-Target,scGPT_emb500_filtered
PARP1,RUVBL1,TF-Target,scGPT_emb500_filtered
PARP1,UTP18,TF-Target,scGPT_emb500_filtered
PARP1,HCFC1,TF-Target,scGPT_emb500_filtered
PARP1,CENPK,TF-Target,scGPT_emb500_filtered
PARP1,MYBL2,TF-Target,scGPT_emb500_filtered
PARP1,RUVBL2,TF-Target,scGPT_emb500_filtered
PARP1,BCLAF1,TF-Target,scGPT_emb500_filtered
NONO,RBBP4,TF-Target,scGPT_emb500_filtered
NONO,RBMX,TF-TF,scGPT_emb500_filtered
NONO,ILF2,TF-TF,scGPT_emb500_filtered
NONO,HNRNPK,TF-TF,scGPT_emb500_filtered
NONO,APEX1,TF-TF,scGPT_emb500_filtered
NONO,ILF3,TF-Target,scGPT_emb500_filtered
NONO,XRCC6,TF-Target,scGPT_emb500_filtered
NONO,CBX3,TF-Target,scGPT_emb500_filtered
NONO,MCM7,TF-Target,scGPT_emb500_filtered
NONO,SNRPD1,TF-TF,scGPT_emb500_filtered
NONO,HMGA1,TF-Target,scGPT_emb500_filtered
NONO,SRSF3,TF-Target,scGPT_emb500_filtered
NONO,TRIM28,TF-Target,scGPT_emb500_filtered
NONO,NPM1,TF-Target,scGPT_emb500_filtered
NONO,CNBP,TF-Target,scGPT_emb500_filtered
NONO,POLR2G,TF-Target,scGPT_emb500_filtered
NONO,CSDE1,TF-Target,scGPT_emb500_filtered
NONO,EWSR1,TF-Target,scGPT_emb500_filtered
NONO,XRCC5,TF-Target,scGPT_emb500_filtered
NONO,DEK,TF-Target,scGPT_emb500_filtered
NONO,SOX4,TF-Target,scGPT_emb500_filtered
NONO,HNRNPD,TF-Target,scGPT_emb500_filtered
NONO,MCM3,TF-Target,scGPT_emb500_filtered
NONO,SRSF1,TF-Target,scGPT_emb500_filtered
NONO,SRSF10,TF-Target,scGPT_emb500_filtered
NONO,FUBP1,TF-Target,scGPT_emb500_filtered
NONO,DNMT1,TF-Target,scGPT_emb500_filtered
NONO,MCM2,TF-Target,scGPT_emb500_filtered
NONO,SNRPB,TF-TF,scGPT_emb500_filtered
NONO,SMARCC1,TF-Target,scGPT_emb500_filtered
NONO,RNPS1,TF-TF,scGPT_emb500_filtered
NONO,TCEA1,TF-Target,scGPT_emb500_filtered
NONO,PA2G4,TF-Target,scGPT_emb500_filtered
NONO,ENO1,TF-Target,scGPT_emb500_filtered
NONO,SUPT16H,TF-Target,scGPT_emb500_filtered
NONO,BCLAF1,TF-Target,scGPT_emb500_filtered
NONO,SRSF2,TF-Target,scGPT_emb500_filtered
NONO,MCM5,TF-Target,scGPT_emb500_filtered
NONO,LEF1,TF-Target,scGPT_emb500_filtered
NONO,EZH2,TF-Target,scGPT_emb500_filtered
NONO,SSB,TF-TF,scGPT_emb500_filtered
NONO,KHSRP,TF-Target,scGPT_emb500_filtered
NONO,DDX54,TF-Target,scGPT_emb500_filtered
NONO,SAP18,TF-Target,scGPT_emb500_filtered
NONO,SFPQ,TF-Target,scGPT_emb500_filtered
NONO,SRSF6,TF-Target,scGPT_emb500_filtered
NONO,FUS,TF-Target,scGPT_emb500_filtered
NONO,POLR2H,TF-Target,scGPT_emb500_filtered
NONO,HCFC1,TF-Target,scGPT_emb500_filtered
NONO,CENPK,TF-Target,scGPT_emb500_filtered
NONO,VIM,TF-Target,scGPT_emb500_filtered
NONO,NCAPG,TF-Target,scGPT_emb500_filtered
NONO,PSIP1,TF-Target,scGPT_emb500_filtered
NONO,IFI16,TF-Target,scGPT_emb500_filtered
NONO,MIF,TF-Target,scGPT_emb500_filtered
NONO,PDGFRA,TF-Target,scGPT_emb500_filtered
NONO,FXR1,TF-Target,scGPT_emb500_filtered
NONO,RFXANK,TF-Target,scGPT_emb500_filtered
APEX1,SSB,TF-TF,scGPT_emb500_filtered
APEX1,ILF2,TF-TF,scGPT_emb500_filtered
APEX1,NPM1,TF-Target,scGPT_emb500_filtered
APEX1,CNBP,TF-Target,scGPT_emb500_filtered
APEX1,XRCC6,TF-Target,scGPT_emb500_filtered
APEX1,ILF3,TF-Target,scGPT_emb500_filtered
APEX1,SNRPD1,TF-TF,scGPT_emb500_filtered
APEX1,SRSF3,TF-Target,scGPT_emb500_filtered
APEX1,MCM7,TF-Target,scGPT_emb500_filtered
APEX1,HNRNPK,TF-TF,scGPT_emb500_filtered
APEX1,ENO1,TF-Target,scGPT_emb500_filtered
APEX1,MCM5,TF-Target,scGPT_emb500_filtered
APEX1,XRCC5,TF-Target,scGPT_emb500_filtered
APEX1,PA2G4,TF-Target,scGPT_emb500_filtered
APEX1,RUVBL2,TF-Target,scGPT_emb500_filtered
APEX1,RBBP4,TF-Target,scGPT_emb500_filtered
APEX1,SAP18,TF-Target,scGPT_emb500_filtered
APEX1,RBMX,TF-TF,scGPT_emb500_filtered
APEX1,SUPT16H,TF-Target,scGPT_emb500_filtered
APEX1,SOX4,TF-Target,scGPT_emb500_filtered
APEX1,DDX54,TF-Target,scGPT_emb500_filtered
APEX1,SNRPB,TF-TF,scGPT_emb500_filtered
APEX1,RNPS1,TF-TF,scGPT_emb500_filtered
APEX1,ODC1,TF-Target,scGPT_emb500_filtered
APEX1,GINS2,TF-Target,scGPT_emb500_filtered
APEX1,SRSF2,TF-Target,scGPT_emb500_filtered
APEX1,CBX3,TF-Target,scGPT_emb500_filtered
APEX1,TRIM28,TF-Target,scGPT_emb500_filtered
APEX1,MCM4,TF-Target,scGPT_emb500_filtered
APEX1,POLR2H,TF-Target,scGPT_emb500_filtered
APEX1,HMGA1,TF-Target,scGPT_emb500_filtered
APEX1,HNRNPAB,TF-Target,scGPT_emb500_filtered
APEX1,MCM2,TF-Target,scGPT_emb500_filtered
APEX1,POLR2G,TF-Target,scGPT_emb500_filtered
APEX1,MCM3,TF-Target,scGPT_emb500_filtered
APEX1,RFXANK,TF-Target,scGPT_emb500_filtered
APEX1,SRSF10,TF-Target,scGPT_emb500_filtered
APEX1,BCLAF1,TF-Target,scGPT_emb500_filtered
APEX1,CSDE1,TF-Target,scGPT_emb500_filtered
APEX1,TCEA1,TF-Target,scGPT_emb500_filtered
SSB,SNRPD1,TF-TF,scGPT_emb500_filtered
SSB,XRCC6,TF-Target,scGPT_emb500_filtered
SSB,PA2G4,TF-Target,scGPT_emb500_filtered
SSB,SAP18,TF-Target,scGPT_emb500_filtered
SSB,RUVBL2,TF-Target,scGPT_emb500_filtered
SSB,SUPT16H,TF-Target,scGPT_emb500_filtered
SSB,CNBP,TF-Target,scGPT_emb500_filtered
SSB,RUVBL1,TF-Target,scGPT_emb500_filtered
SSB,SNRPB,TF-TF,scGPT_emb500_filtered
SSB,HNRNPK,TF-TF,scGPT_emb500_filtered
SSB,NPM1,TF-Target,scGPT_emb500_filtered
SSB,XRCC5,TF-Target,scGPT_emb500_filtered
SSB,SRSF10,TF-Target,scGPT_emb500_filtered
SSB,ILF3,TF-Target,scGPT_emb500_filtered
SSB,BCLAF1,TF-Target,scGPT_emb500_filtered
SSB,EWSR1,TF-Target,scGPT_emb500_filtered
SSB,DEK,TF-Target,scGPT_emb500_filtered
SSB,ILF2,TF-TF,scGPT_emb500_filtered
SSB,SRSF2,TF-Target,scGPT_emb500_filtered
SSB,HNRNPD,TF-Target,scGPT_emb500_filtered
SSB,POLR2I,TF-Target,scGPT_emb500_filtered
SSB,DNAJC2,TF-Target,scGPT_emb500_filtered
SSB,RNPS1,TF-TF,scGPT_emb500_filtered
SSB,CEBPZ,TF-Target,scGPT_emb500_filtered
SSB,SRSF3,TF-Target,scGPT_emb500_filtered
SSB,POLR2G,TF-Target,scGPT_emb500_filtered
SSB,NOL11,TF-Target,scGPT_emb500_filtered
SSB,RBMX,TF-TF,scGPT_emb500_filtered
SSB,SFPQ,TF-Target,scGPT_emb500_filtered
SSB,CBX3,TF-Target,scGPT_emb500_filtered
SSB,FUS,TF-Target,scGPT_emb500_filtered
SSB,FUBP1,TF-Target,scGPT_emb500_filtered
SSB,PSIP1,TF-Target,scGPT_emb500_filtered
SSB,HNRNPAB,TF-Target,scGPT_emb500_filtered
SSB,POLR2K,TF-Target,scGPT_emb500_filtered
SSB,MCM7,TF-Target,scGPT_emb500_filtered
SSB,RBBP4,TF-Target,scGPT_emb500_filtered
SSB,ENO1,TF-Target,scGPT_emb500_filtered
SSB,TRIM28,TF-Target,scGPT_emb500_filtered
SSB,DNMT1,TF-Target,scGPT_emb500_filtered
SSB,SF1,TF-Target,scGPT_emb500_filtered
SSB,DECR1,TF-Target,scGPT_emb500_filtered
SSB,TCEA1,TF-Target,scGPT_emb500_filtered
ILF2,SNRPB,TF-TF,scGPT_emb500_filtered
ILF2,XRCC6,TF-Target,scGPT_emb500_filtered
ILF2,SAP18,TF-Target,scGPT_emb500_filtered
ILF2,SNRPD1,TF-TF,scGPT_emb500_filtered
ILF2,HNRNPK,TF-TF,scGPT_emb500_filtered
ILF2,MCM7,TF-Target,scGPT_emb500_filtered
ILF2,CCNB2,TF-Target,scGPT_emb500_filtered
ILF2,HMGA1,TF-Target,scGPT_emb500_filtered
ILF2,SRSF3,TF-Target,scGPT_emb500_filtered
ILF2,PA2G4,TF-Target,scGPT_emb500_filtered
ILF2,RUVBL2,TF-Target,scGPT_emb500_filtered
ILF2,NPM1,TF-Target,scGPT_emb500_filtered
ILF2,CDC20,TF-Target,scGPT_emb500_filtered
ILF2,RBBP4,TF-Target,scGPT_emb500_filtered
ILF2,ENO1,TF-Target,scGPT_emb500_filtered
ILF2,RNPS1,TF-TF,scGPT_emb500_filtered
ILF2,SOX4,TF-Target,scGPT_emb500_filtered
ILF2,CNBP,TF-Target,scGPT_emb500_filtered
ILF2,POLR2H,TF-Target,scGPT_emb500_filtered
ILF2,ALYREF,TF-Target,scGPT_emb500_filtered
ILF2,ILF3,TF-Target,scGPT_emb500_filtered
ILF2,DLGAP5,TF-Target,scGPT_emb500_filtered
ILF2,POLR2G,TF-Target,scGPT_emb500_filtered
ILF2,TRIM28,TF-Target,scGPT_emb500_filtered
ILF2,RUVBL1,TF-Target,scGPT_emb500_filtered
ILF2,SRSF2,TF-Target,scGPT_emb500_filtered
ILF2,HNRNPAB,TF-Target,scGPT_emb500_filtered
ILF2,ODC1,TF-Target,scGPT_emb500_filtered
ILF2,POLR2K,TF-Target,scGPT_emb500_filtered
ILF2,RBMX,TF-TF,scGPT_emb500_filtered
ILF2,SUPT16H,TF-Target,scGPT_emb500_filtered
ILF2,EWSR1,TF-Target,scGPT_emb500_filtered
ILF2,XRCC5,TF-Target,scGPT_emb500_filtered
ILF2,MCM3,TF-Target,scGPT_emb500_filtered
ILF2,CCNA2,TF-Target,scGPT_emb500_filtered
ILF2,SRSF10,TF-Target,scGPT_emb500_filtered
ILF2,CBX3,TF-Target,scGPT_emb500_filtered
ILF2,HNRNPD,TF-Target,scGPT_emb500_filtered
ILF2,UHRF1,TF-Target,scGPT_emb500_filtered
ILF2,SRSF1,TF-Target,scGPT_emb500_filtered
ILF2,CRABP2,TF-Target,scGPT_emb500_filtered
ILF2,RIOK1,TF-Target,scGPT_emb500_filtered
ILF2,MCM2,TF-Target,scGPT_emb500_filtered
ILF2,NCAPG,TF-Target,scGPT_emb500_filtered
ILF2,NUSAP1,TF-Target,scGPT_emb500_filtered
ILF2,TRIP6,TF-Target,scGPT_emb500_filtered
ILF2,CDCA8,TF-Target,scGPT_emb500_filtered
ILF2,DNAJC2,TF-Target,scGPT_emb500_filtered
ILF2,EEF1A1,TF-Target,scGPT_emb500_filtered
ILF2,EPCAM,TF-Target,scGPT_emb500_filtered
ILF2,SFPQ,TF-Target,scGPT_emb500_filtered
ILF2,FUBP1,TF-Target,scGPT_emb500_filtered
ILF2,FUS,TF-Target,scGPT_emb500_filtered
ILF2,DDX54,TF-Target,scGPT_emb500_filtered
ILF2,MCM5,TF-Target,scGPT_emb500_filtered
ILF2,IFI16,TF-Target,scGPT_emb500_filtered
ILF2,DEK,TF-Target,scGPT_emb500_filtered
SNRPB,SNRPD1,TF-TF,scGPT_emb500_filtered
SNRPB,MCM7,TF-Target,scGPT_emb500_filtered
SNRPB,HNRNPAB,TF-Target,scGPT_emb500_filtered
SNRPB,HMGA1,TF-Target,scGPT_emb500_filtered
SNRPB,SAP18,TF-Target,scGPT_emb500_filtered
SNRPB,DEK,TF-Target,scGPT_emb500_filtered
SNRPB,SRSF3,TF-Target,scGPT_emb500_filtered
SNRPB,PA2G4,TF-Target,scGPT_emb500_filtered
SNRPB,XRCC6,TF-Target,scGPT_emb500_filtered
SNRPB,SRSF2,TF-Target,scGPT_emb500_filtered
SNRPB,FUS,TF-Target,scGPT_emb500_filtered
SNRPB,NPM1,TF-Target,scGPT_emb500_filtered
SNRPB,MCM3,TF-Target,scGPT_emb500_filtered
SNRPB,ENO1,TF-Target,scGPT_emb500_filtered
SNRPB,HNRNPD,TF-Target,scGPT_emb500_filtered
