Gene,NodeType,IsCoreTF,Degree
PARP1,TF,True,39
NONO,TF,True,59
APEX1,TF,True,42
SSB,TF,True,46
ILF2,TF,True,60
SNRPB,TF,True,51
YBX1,TF,True,28
RNPS1,TF,True,43
RBMX,TF,True,39
HNRNPK,TF,True,46
SNRPD1,TF,True,53
MCM7,Target,False,8
XRCC6,Target,False,10
SAP18,Target,False,9
CNBP,Target,False,10
HNRNPAB,Target,False,9
RBBP4,Target,False,9
SRSF3,Target,False,10
HMGA1,Target,False,9
PA2G4,Target,False,11
NPM1,Target,False,9
DNMT1,Target,False,6
CCNB2,Target,False,1
HNRNPD,Target,False,10
CBX3,Target,False,9
DEK,Target,False,10
SFPQ,Target,False,8
ENO1,Target,False,9
ILF3,Target,False,11
SRSF2,Target,False,10
FUS,Target,False,9
EWSR1,Target,False,9
SRSF10,Target,False,9
CSDE1,Target,False,6
PTMA,Target,False,3
RUVBL2,Target,False,6
SF1,Target,False,4
MCM3,Target,False,6
TCEA1,Target,False,8
SUPT16H,Target,False,10
TRIM28,Target,False,5
CDC20,Target,False,3
MCM5,Target,False,5
POLR2H,Target,False,6
RUVBL1,Target,False,4
XRCC5,Target,False,10
POLR2G,Target,False,8
VIM,Target,False,3
BCLAF1,Target,False,7
POLR2K,Target,False,4
MIF,Target,False,4
SOX4,Target,False,6
FXR1,Target,False,2
ALYREF,Target,False,2
POLR2F,Target,False,2
SRSF1,Target,False,7
DLGAP5,Target,False,1
ODC1,Target,False,5
POLR2I,Target,False,2
FUBP1,Target,False,5
GINS2,Target,False,4
MCM6,Target,False,1
MCM2,Target,False,4
SMARCC1,Target,False,4
CDCA7L,Target,False,1
MCM4,Target,False,2
UHRF1,Target,False,2
DDX54,Target,False,3
PSIP1,Target,False,6
ATRX,Target,False,3
CITED2,Target,False,1
DNAJC2,Target,False,3
ELAVL2,Target,False,1
UBTF,Target,False,1
U2AF1,Target,False,1
CHAF1A,Target,False,2
CCNA2,Target,False,2
CRABP2,Target,False,2
CEBPZ,Target,False,1
LEF1,Target,False,2
NOL11,Target,False,1
NUSAP1,Target,False,2
IFI16,Target,False,6
EZH2,Target,False,1
KHSRP,Target,False,2
EEF1A1,Target,False,3
RIOK1,Target,False,1
CENPK,Target,False,3
PRIM1,Target,False,1
SRSF6,Target,False,2
NCAPG,Target,False,2
TRIP6,Target,False,1
CDCA8,Target,False,1
PMAIP1,Target,False,1
RAD51AP1,Target,False,1
UTP18,Target,False,1
EPCAM,Target,False,2
HCFC1,Target,False,2
RFXANK,Target,False,2
THY1,Target,False,1
STAT3,Target,False,1
PDCD4,Target,False,1
NFKBIA,Target,False,1
PDGFRA,Target,False,1
MYBL2,Target,False,1
DECR1,Target,False,1
IRF1,Target,False,1
