TF,hits,pred_total,gt_total,precision,recall,f1,method
SNRPD1,18,39,27,0.46153846153846156,0.6666666666666666,0.5454545454545455,scGPT-emb500
MCM5,18,35,32,0.5142857142857142,0.5625,0.5373134328358209,scGPT-emb500
RAD51,22,46,38,0.4782608695652174,0.5789473684210527,0.5238095238095238,scGPT-emb500
TRIP13,19,53,22,0.3584905660377358,0.8636363636363636,0.5066666666666666,scGPT-emb500
MCM2,22,49,38,0.4489795918367347,0.5789473684210527,0.5057471264367815,scGPT-emb500
HNRNPK,16,32,35,0.5,0.45714285714285713,0.4776119402985075,scGPT-emb500
MCM4,20,50,36,0.4,0.5555555555555556,0.46511627906976744,scGPT-emb500
HNRNPD,13,31,26,0.41935483870967744,0.5,0.45614035087719296,scGPT-emb500
FUS,12,28,25,0.42857142857142855,0.48,0.4528301886792452,scGPT-emb500
SRSF3,14,32,33,0.4375,0.42424242424242425,0.43076923076923074,scGPT-emb500
MCM6,15,40,30,0.375,0.5,0.42857142857142855,scGPT-emb500
MCM3,17,47,33,0.3617021276595745,0.5151515151515151,0.42500000000000004,scGPT-emb500
ESPL1,14,39,27,0.358974358974359,0.5185185185185185,0.42424242424242425,scGPT-emb500
MYBBP1A,10,31,17,0.3225806451612903,0.5882352941176471,0.41666666666666663,scGPT-emb500
RBMX,11,25,29,0.44,0.3793103448275862,0.4074074074074074,scGPT-emb500
SRSF10,10,28,22,0.35714285714285715,0.45454545454545453,0.4,scGPT-emb500
MCM7,19,63,32,0.30158730158730157,0.59375,0.39999999999999997,scGPT-emb500
SRSF2,11,29,28,0.3793103448275862,0.39285714285714285,0.3859649122807017,scGPT-emb500
ILF2,11,39,19,0.28205128205128205,0.5789473684210527,0.37931034482758624,scGPT-emb500
RNPS1,11,28,30,0.39285714285714285,0.36666666666666664,0.3793103448275862,scGPT-emb500
UHRF1,11,38,21,0.2894736842105263,0.5238095238095238,0.3728813559322034,scGPT-emb500
ILF3,9,35,14,0.2571428571428571,0.6428571428571429,0.36734693877551017,scGPT-emb500
SNRPB,11,34,26,0.3235294117647059,0.4230769230769231,0.3666666666666667,scGPT-emb500
DNMT1,10,34,26,0.29411764705882354,0.38461538461538464,0.33333333333333337,scGPT-emb500
CHAF1A,9,43,15,0.20930232558139536,0.6,0.3103448275862069,scGPT-emb500
SFPQ,7,30,16,0.23333333333333334,0.4375,0.3043478260869565,scGPT-emb500
POLR1B,8,30,27,0.26666666666666666,0.2962962962962963,0.28070175438596495,scGPT-emb500
NONO,6,37,10,0.16216216216216217,0.6,0.25531914893617025,scGPT-emb500
SSB,5,24,19,0.20833333333333334,0.2631578947368421,0.23255813953488372,scGPT-emb500
APEX1,4,24,13,0.16666666666666666,0.3076923076923077,0.21621621621621623,scGPT-emb500
YBX1,5,20,28,0.25,0.17857142857142858,0.20833333333333331,scGPT-emb500
MYBL2,5,35,15,0.14285714285714285,0.3333333333333333,0.2,scGPT-emb500
EZH2,8,34,48,0.23529411764705882,0.16666666666666666,0.19512195121951217,scGPT-emb500
XRCC5,5,37,16,0.13513513513513514,0.3125,0.18867924528301885,scGPT-emb500
CENPK,4,36,14,0.1111111111111111,0.2857142857142857,0.16,scGPT-emb500
SUPT16H,4,33,20,0.12121212121212122,0.2,0.15094339622641512,scGPT-emb500
LIN28A,3,29,11,0.10344827586206896,0.2727272727272727,0.15,scGPT-emb500
HNRNPAB,2,24,3,0.08333333333333333,0.6666666666666666,0.14814814814814814,scGPT-emb500
KHSRP,2,22,11,0.09090909090909091,0.18181818181818182,0.12121212121212123,scGPT-emb500
EWSR1,2,23,10,0.08695652173913043,0.2,0.12121212121212122,scGPT-emb500
XRCC6,3,34,17,0.08823529411764706,0.17647058823529413,0.11764705882352942,scGPT-emb500
PRDM14,2,26,8,0.07692307692307693,0.25,0.11764705882352941,scGPT-emb500
PARP1,2,20,16,0.1,0.125,0.11111111111111112,scGPT-emb500
ATRX,3,45,10,0.06666666666666667,0.3,0.1090909090909091,scGPT-emb500
RBBP4,4,32,56,0.125,0.07142857142857142,0.09090909090909091,scGPT-emb500
TCF19,2,43,7,0.046511627906976744,0.2857142857142857,0.08,scGPT-emb500
LDB2,1,21,4,0.047619047619047616,0.25,0.08,scGPT-emb500
TP53,5,27,101,0.18518518518518517,0.04950495049504951,0.078125,scGPT-emb500
TRIM33,1,22,6,0.045454545454545456,0.16666666666666666,0.07142857142857144,scGPT-emb500
CNBP,1,27,1,0.037037037037037035,1.0,0.07142857142857142,scGPT-emb500
ZFP42,2,54,3,0.037037037037037035,0.6666666666666666,0.07017543859649122,scGPT-emb500
PBX1,2,28,30,0.07142857142857142,0.06666666666666667,0.0689655172413793,scGPT-emb500
BRWD1,1,28,1,0.03571428571428571,1.0,0.0689655172413793,scGPT-emb500
PATZ1,1,29,1,0.034482758620689655,1.0,0.06666666666666667,scGPT-emb500
RUVBL2,1,24,7,0.041666666666666664,0.14285714285714285,0.06451612903225806,scGPT-emb500
CBX3,1,24,8,0.041666666666666664,0.125,0.0625,scGPT-emb500
