DB,Term,PValue,Overlap,SetSize,QuerySize,BackgroundSize,Genes,FDR_BH,neglog10P
c2.cp.v2025.1.Hs.symbols.gmt,WP_MRNA_PROCESSING,1.383281837990032e-12,7,126,11,13868,HNRNPK;NONO;RBMX;RNPS1;SNRPB;SNRPD1;YBX1,1.7429351158674404e-10,11.859089325159166
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_MRNA_SPLICING,5.1549027089695165e-09,6,212,11,13868,HNRNPK;RBMX;RNPS1;SNRPB;SNRPD1;YBX1,3.2475887066507956e-07,8.287779526957847
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,2.9045928667540377e-08,6,283,11,13868,HNRNPK;RBMX;RNPS1;SNRPB;SNRPD1;YBX1,1.219929004036696e-06,7.536914733536495
h.all.v2025.1.Hs.symbols.gmt,HALLMARK_MYC_TARGETS_V1,1.0880208468465474e-06,5,200,6,4384,APEX1;ILF2;RNPS1;SNRPD1;SSB,4.35208338738619e-06,5.9633627833293055
c2.cp.v2025.1.Hs.symbols.gmt,KEGG_SPLICEOSOME,2.106270872624397e-06,4,127,11,13868,HNRNPK;RBMX;SNRPB;SNRPD1,6.634753248766851e-05,5.676485778012155
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_MRNA_SPLICING_MINOR_PATHWAY,7.13021875447609e-06,3,50,11,13868,SNRPB;SNRPD1;YBX1,0.00015726193899956984,5.1468971458277295
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_METABOLISM_OF_RNA,7.488663761884278e-06,6,727,11,13868,HNRNPK;RBMX;RNPS1;SNRPB;SNRPD1;YBX1,0.00015726193899956984,5.125595668630547
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,1.597447428528637e-05,2,8,11,13868,APEX1;PARP1,0.0002875405371351547,4.79657342542346
c2.cp.v2025.1.Hs.symbols.gmt,KEGG_MEDICUS_REFERENCE_BASE_EXCISION_AND_STRAND_CLEAVAGE_BY_BIFUNCTIONAL_GLYCOSYLASE,2.0529722472955182e-05,2,9,11,13868,APEX1;PARP1,0.0003233431289490441,4.687616921514883
c2.cp.v2025.1.Hs.symbols.gmt,BIOCARTA_SM_PATHWAY,5.1782396142413076e-05,2,14,11,13868,SNRPB;SNRPD1,0.0007249535459937831,4.285817857196806
c2.cp.v2025.1.Hs.symbols.gmt,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.00015329791616764863,3,139,11,13868,SNRPB;SNRPD1;SSB,0.0019315537437123726,3.8144637486227437
c2.cp.v2025.1.Hs.symbols.gmt,REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,0.00016990039497440129,2,25,11,13868,APEX1;PARP1,0.0019461317969795056,3.7698056115076253
c2.cp.v2025.1.Hs.symbols.gmt,WP_BASE_EXCISION_REPAIR,0.00026266263604848264,2,31,11,13868,APEX1;PARP1,0.002757957678509068,3.580601701527061
