TF,scGPT-att500_Jaccard,scGPT-att500_Rank,scGPT-emb500_Jaccard,scGPT-emb500_Rank,scGPT-embhidden500_Jaccard,scGPT-embhidden500_Rank,Mean_Jaccard,Std_Jaccard,Mean_Rank,Rank_Std,Rank_CV
PARP1,28,28,43,43,32,32,34.333333333333336,6.342099196813483,34.333333333333336,6.342099196813483,0.1847213358295189
NONO,35,35,28,28,18,18,27.0,6.97614984548545,27.0,6.97614984548545,0.2583759202031648
APEX1,27,27,30,30,22,22,26.333333333333332,3.299831645537222,26.333333333333332,3.299831645537222,0.12531006248875529
SSB,22,22,29,29,19,19,23.333333333333332,4.189935029992178,23.333333333333332,4.189935029992178,0.1795686441425219
ILF2,26,26,19,19,13,13,19.333333333333332,5.312459150169742,19.333333333333332,5.312459150169742,0.274782369836366
SNRPB,13,13,23,23,12,12,16.0,4.96655480858378,16.0,4.96655480858378,0.31040967553648624
YBX1,12,12,31,31,5,5,16.0,10.98483803552272,16.0,10.98483803552272,0.68655237722017
RNPS1,11,11,20,20,9,9,13.333333333333334,4.784233364802441,13.333333333333334,4.784233364802441,0.35881750236018306
RBMX,2,2,15,15,11,11,9.333333333333334,5.436502143433363,9.333333333333334,5.436502143433363,0.5824823725107174
HNRNPK,16,16,6,6,3,3,8.333333333333334,5.557777333511022,8.333333333333334,5.557777333511022,0.6669332800213226
SNRPD1,15,15,1,1,1,1,5.666666666666667,6.599663291074443,5.666666666666667,6.599663291074443,1.164646463130784
