数据集,类型,随机-平衡准确率,随机-MCC,权重-平衡准确率,权重-MCC
hESC,all,0.522673 ± 0.010669,0.104025 ± 0.039277,0.624982,0.328915
hESC,top30,0.518565 ± 0.010553,0.060062 ± 0.029703,0.728536,0.526602
hHep,all,0.538444 ± 0.031742,0.169735 ± 0.129857,0.656599,0.329980
hHep,top30,0.574737 ± 0.058136,0.271203 ± 0.171465,0.815789,0.599491
mDC,all,0.467683 ± 0.000000,-0.009174 ± 0.000000,0.600000,0.017447
mDC,top30,0.910931 ± 0.000000,0.000000 ± 0.000000,0.497976,0.000000
mHSC-E,all,0.491071 ± 0.000000,-0.044102 ± 0.000000,0.622768,0.328976
mHSC-E,top30,0.462925 ± 0.000000,-0.162099 ± 0.000000,0.907483,0.805143
mHSC-GM,all,0.489212 ± 0.000000,-0.053170 ± 0.000000,0.604931,0.284188
mHSC-GM,top30,0.480002 ± 0.000000,-0.084322 ± 0.000000,0.758030,0.613516
mHSC-L,all,0.520113 ± 0.000000,0.082578 ± 0.000000,0.572638,0.181706
mHSC-L,top30,0.540519 ± 0.000000,0.169779 ± 0.000000,0.652848,0.355777
