Gene1,Gene2
AR,MTRNR2L2
AR,MTRNR2L8
AR,RGPD2
AR,MTRNR2L9
AR,MTRNR2L10
AR,USP17L5
AR,USP17L30
AR,USP17L29
AR,USP17L28
AR,USP17L27
AR,USP17L26
AR,USP17L25
AR,USP17L24
ATF2,TRMO
ATF2,FAM71E1
ATF2,EMC10
ATF2,CIC
ATF2,LUC7L2
ATF2,JUN
ATF2,CCNI
ATF2,CENPU
ATF2,FMC1
ATF2,C7orf55-LUC7L2
ATF2,POLR2J3
ATF2,HNRNPH1
ATF2,POU2F1
ATF2,CYCS
ATF2,RSRP1
ATF2,KMT2E
ATF2,JUND
ATF2,YEATS4
ATF2,MCRS1
ATF2,DNAJA3
ATF2,SPRTN
ATF2,EXOC8
ATF2,PHF12
ATF2,CCDC12
ATF2,MRPL54
ATF2,APBA3
ATF2,RFX1
ATF2,MTRNR2L8
ATF2,C10orf88
ATF2,MAP2K7
ATF2,INO80C
ATF2,ENSA
ATF2,CDK12
ATF2,S100A13
ATF2,CHTOP
ATF2,E2F6
ATF2,XRCC2
ATF2,CHMP7
ATF2,VPS26B
ATF2,NCAPD3
ATF2,MRPL45
ATF2,CELSR3
ATF2,STX12
ATF2,HIST1H4J
ATF2,HIST1H4E
ATF2,LTN1
ATF2,KDM8
ATF2,HIST1H4K
ATF2,NAGK
ATF2,HIST2H4B
ATF2,HIST2H4A
ATF2,POLDIP3
ATF2,POLR2J
ATF2,TMEM143
ATF2,SYNGR4
ATF2,FAM220A
ATF2,COX18
ATF2,RAB30
ATF2,RAB1A
ATF2,IFNAR1
ATF2,TMBIM6
ATF2,WDR4
ATF2,MTRNR2L2
ATF2,HIST1H4H
ATF2,CHMP3
ATF2,C1orf74
ATF2,CCNL1
ATF2,ITFG2
ATF2,SMARCD2
ATF2,TUBD1
ATF2,RPS6KB1
ATF2,POLR3B
ATF2,DAGLB
ATF2,SLC35A4
ATF2,APBB3
ATF2,SPOP
ATF2,HIST1H4C
ATF2,PPP6R1
ATF2,DCTN2
ATF2,SRSF7
ATF2,MSL2
ATF2,AP3B1
ATF2,TMEM141
ATF2,BDP1
ATF2,EID2B
ATF2,NF1
ATF2,CDC25C
