Gene1,Gene2
ADNP,MIS18BP1
ADNP,EXD1
ADNP,CHP1
ADNP,OSCAR
ADNP,NDUFA3
ADNP,BSPRY
ADNP,RFWD3
ADNP,IGFBP4
ADNP,LRCH1
ADNP,ZPR1
ADNP,ZDHHC6
ADNP,VTI1A
ADNP,CYP21A1
ADNP,SRF
ADNP,RAMAC
ADNP,DNM1L
ADNP,CRTAC1
ADNP,GNE
ADNP,GPCPD1
ADNP,TMEM51
ADNP,CWF19L2
ADNP,JUP
ADNP,PRSS50
ADNP,SNHG11
ADNP,TJP2
ADNP,CLCN4
ADNP,PFAS
ADNP,RTN2
ADNP,TMEM221
ADNP,ABHD16A
ADNP,LSM10
ADNP,PIEZO1
ADNP,PLEKHG4
ADNP,PADI4
ADNP,DPEP3
ADNP,MED16
ADNP,RSL1D1
ADNP,ANKRD33
ADNP,MKRN2
ADNP,AP4E1
ADNP,ZFP647
ADNP,FBXO4
ADNP,B230219D22RIK
ADNP,DDX59
ADNP,GABPB2
ADNP,ALOX12
ADNP,FAM198B
ADNP,RNF135
ADNP,MESP1
ADNP,NLRX1
ADNP,CPNE2
ADNP,2210016L21RIK
ADNP,DYNC1I2
ADNP,CTNNB1
ADNP,CDKL3
ADNP,TPGS2
ADNP,AW554918
ADNP,TFAP4
ADNP,HNRNPC
ADNP,PAK1IP1
ADNP,RNF8
ADNP,KIF20B
ADNP,DYRK1A
ADNP,CHD2
ADNP,PLXNB2
ADNP,BMP1
ADNP,ZFP809
ADNP,SFI1
ADNP,TOR1AIP2
ADNP,RPL13
ADNP,XRCC5
ADNP,TOMT
ADNP,TAF8
ADNP,TMEM270
ADNP,PCCA
ADNP,NUP160
ADNP,CYP27B1
ADNP,NEK5
ADNP,CCDC124
ADNP,H2AFY2
ADNP,SUPT20
ADNP,DNAJC22
ADNP,SLU7
ADNP,VPS11
ADNP,OASL1
ADNP,DDX19A
ADNP,HAPLN2
ADNP,CNNM3
ADNP,EXOSC5
ADNP,BCKDHA
ADNP,FIGNL2
ADNP,RNF216
ADNP,ZDHHC4
ADNP,CCT2
ADNP,TRIM47
ADNP,MED22
ADNP,IFT122
ADNP,ATP5L
