Gene1,Gene2,Score
AICDA,SSPN,1625.0
AICDA,MRPL44,1946.0
AICDA,EID1,2109.0
AICDA,PIP4P1,1841.0
AICDA,FAM149B,1531.0
AICDA,ECD,1531.0
AICDA,TMCO1,1628.0
AICDA,EYA3,1616.0
AICDA,RPS21,1586.0
AICDA,NEK9,1557.0
AICDA,PSMA6,1519.0
AICDA,SCRN3,1501.0
AICDA,CIR1,1501.0
AICDA,SRP19,1451.0
AICDA,CLNS1A,1449.0
AICDA,ROMO1,1428.0
AICDA,NFS1,1428.0
AICDA,CSTF2T,1328.0
AICDA,MANBAL,1404.0
AICDA,PPIH,1401.0
AICDA,USP30,1399.0
AICDA,MED23,1259.0
AICDA,PSMG3,1230.0
AICDA,ATP6V1H,1315.0
AICDA,EPN1,1297.0
AICDA,SLIRP,1284.0
AICDA,NRP,1284.0
AICDA,ALKBH1,1284.0
AICDA,MYG1,1264.0
AICDA,DMAP1,1236.0
AICDA,EXOC3,1213.0
AICDA,PPIP5K2,1207.0
AICDA,GIN1,1207.0
AICDA,SNRNP27,1202.0
AICDA,DRG2,1192.0
AICDA,CSTF1,1185.0
AICDA,AURKA,1185.0
AICDA,ZFP292,1164.0
AICDA,UBE2J2,1034.0
AICDA,RPF1,1156.0
AICDA,UBE2G2,1152.0
AICDA,MRPL1,1014.0
AICDA,TWNK,1144.0
AICDA,MRPL43,1144.0
AICDA,ALKBH3,1141.0
AICDA,INTS12,1140.0
AICDA,GSTCD,1140.0
AICDA,DUS1L,1134.0
AICDA,TMEM68,1133.0
AICDA,TGS1,1133.0
AICDA,LARP4,1121.0
AICDA,KCTD5,1121.0
AICDA,IMMT,1121.0
AICDA,UBA2,1117.0
AICDA,PNISR,1109.0
AICDA,YAE1D1,1108.0
AICDA,DDHD2,1107.0
AICDA,SNRPE,1106.0
AICDA,MRPL20,1106.0
AICDA,MRPS18A,1102.0
AICDA,ZPBP,1090.0
AICDA,ZFP668,1071.0
AICDA,ZFP646,1071.0
AICDA,NUP107,1065.0
AICDA,RARS,1064.0
AICDA,CCZ1,1059.0
AICDA,RPS29,580.0
AICDA,RRS1,1047.0
AICDA,TENT2,1045.0
AICDA,PSMG1,1037.0
AICDA,METTL6,1022.0
AICDA,EAF1,1022.0
AICDA,CCNH,1016.0
AICDA,VPS25,1008.0
AICDA,DCP1A,1003.0
AICDA,KLHL20,921.0
AICDA,FBXW8,1000.0
AICDA,RGL2,994.0
AICDA,DNAJC24,988.0
AICDA,RRP15,985.0
AICDA,THUMPD3,984.0
AICDA,RSAD1,984.0
AICDA,FAM8A1,981.0
AICDA,DCUN1D5,976.0
AICDA,YBEY,974.0
AICDA,MCM3AP,974.0
AICDA,EXOC1,972.0
AICDA,KLHDC4,967.0
AICDA,EAPP,380.0
AICDA,PIP5K1C,960.0
AICDA,PXK,950.0
AICDA,ZFP560,946.0
AICDA,KAT8,946.0
AICDA,KLHDC8B,942.0
AICDA,CCDC71,942.0
AICDA,TATDN1,939.0
AICDA,RPS7,939.0
AICDA,NDUFB9,939.0
AICDA,CDC16,936.0
AICDA,DDX46,935.0
AICDA,IMP4,930.0
AICDA,CCDC115,930.0
AICDA,WDR36,634.0
AICDA,TMEM267,498.0
AICDA,SNRNP200,918.0
AICDA,1810024B03RIK,918.0
AICDA,JMY,893.0
AICDA,EIF2B2,889.0
AICDA,SNRPC,884.0
AICDA,PDAP1,878.0
AICDA,BUD31,878.0
AICDA,STPG2,875.0
AICDA,NAA20,874.0
AICDA,BMS1,872.0
AICDA,TRIP13,869.0
AICDA,SLF1,869.0
AICDA,IP6K1,869.0
AICDA,BRD9,869.0
AICDA,2210408I21RIK,869.0
AICDA,PSMF1,867.0
AICDA,NACA,867.0
AICDA,CLCN4,440.0
AICDA,BNIP3,860.0
AICDA,NOC3L,857.0
AICDA,NVL,852.0
AICDA,HDHD2,846.0
AICDA,TSSK6,844.0
AICDA,NDUFA13,844.0
AICDA,CD2BP2,843.0
AICDA,YME1L1,842.0
AICDA,MASTL,842.0
AICDA,COPS7A,839.0
AICDA,SHQ1,838.0
AICDA,SRP54A,837.0
AICDA,2700097O09RIK,837.0
AICDA,MRPL53,835.0
AICDA,BC003965,829.0
AICDA,TNRC6A,827.0
AICDA,ERCC3,825.0
AICDA,EIF3L,824.0
AICDA,MTERF4,821.0
AICDA,NDUFS3,817.0
AICDA,KBTBD4,817.0
AICDA,MCRS1,815.0
AICDA,MRPL16,812.0
AICDA,DGAT2,811.0
