dataset,original label,aligned label,quality
GSE158055,NK,"Natural killer cell,NK cell",0.34934511499655324
GSE158055,CD8,"CD8+ cytotoxic T cell,CD8+ regulatory T cell,CD8+ T cell,Effector CD8+ memory T (Tem) cell,Naive CD8+ T cell",0.5832030492562322
GSE158055,Plasma,Plasma cell,0.4090909090909091
GSE158055,CD4,"CD4+ cytotoxic T cell,CD4+ memory T cell,CD4+ regulatory T cell,CD4+ T cell,CD4+ T helper cell,CD4+CD25+ regulatory T cell,Effector CD4+ memory T (Tem) cell,Activated CD4+ T cell,Naive CD4+ T cell",0.6349181742740632
GSE158055,Mega,"Megakaryocyte,Megakaryocytes",0.37251303843925054
GSE158055,Epi,"Ciliated epithelial cell,Epithelial cell,Airway epithelial cell,Alveolar epithelial progenitor cell,Epithelial progenitor cell,Epithelial stem cell,Lung epithelial cell",0.46810160035648807
GSE158055,Neu,"Neutrophil,Neutrophils",0.3826427771556551
GSE158055,Mono,"Monocyte,Monocytes",0.44121016104036115
GSE158055,B,B cell,0.5804643714971978
GSE158055,DC,Dendritic cell,0.475
GSE158055,Macro,"Macrophage,Macrophages",0.3798449612403101
GSE158055,Mast,Mast cell,0.5530973451327433
GSE96583,Dendritic cells,Dendritic cell,0.475
GSE96583,CD8 T cells,"CD8+ cytotoxic T cell,CD8+ regulatory T cell,CD8+ T cell,Effector CD8+ memory T (Tem) cell,Naive CD8+ T cell",0.5832030492562322
GSE96583,NK cells,"Natural killer cell,NK cell",0.34934511499655324
GSE96583,B cells,B cell,0.5804643714971978
GSE96583,Megakaryocytes,"Megakaryocyte,Megakaryocytes",0.37251303843925054
GSE96583,FCGR3A+ Monocytes,"Monocyte,Monocytes",0.44121016104036115
GSE96583,CD14+ Monocytes,"CD14++CD16- monocyte,CD14+CD16+ monocyte,Monocyte,Monocytes",0.48449396940906947
GSE96583,,not found,0.0
GSE96583,CD4 T cells,"CD4+ cytotoxic T cell,CD4+ memory T cell,CD4+ regulatory T cell,CD4+ T cell,CD4+ T helper cell,CD4+CD25+ regulatory T cell,Effector CD4+ memory T (Tem) cell,Activated CD4+ T cell,Naive CD4+ T cell",0.6349181742740632
scGAD_AHsP,Megakaryocytes,"Megakaryocyte,Megakaryocytes",0.37251303843925054
scGAD_AHsP,Stromal cells,"Stromal cell,Bone marrow stromal cell,Mesenchymal stromal cell,Stromal stem cell",0.3484911827303132
scGAD_AHsP,AFP_ALB positive cells,not found,0.0
