cellType	geneMarker
1-cell stage cell (Blastomere)	1A1L2,ACCSL,ACV1B,ACVR1B,ARHGEF16,ARHGG,ASF1B,B2L10,BCL2L10,BLCAP,BNIP1,C16orf57,C1orf210,C1orf226,C22orf13,C2orf29,CA210,CA226,CASC3,CIAPIN1,CLC10,CLEC10A,CNO11,CNOT11,CPIN1,DCLK2,DHCR7,DMRTB,DMRTB1,DPF2,DUS7,DUSP7,FDFT,FDFT1,FRIL,FTL,GLYM,GRB7,GUCD1,H1FOO,INT9,INTS9,KLDC3,KLF11,KLHDC3,MKNK1,NECAP2,NECP2,PAPD7,PPIL2,REQU,RNF10,SDCCAG8,SDCG8,SEC20,SHMT2,SKP2,STAR7,STARD7,STK38,TBG1,TBG2,TM163,TMEM163,TNF13,TNFSF13,TRAD1,TRAFD1,TROAP,TUBG1,TUBG2,UNKL,USB1,YPEL1,ZFY21,ZFYVE21,ZSWIM3,ZSWM3
4-cell stage cell (Blastomere)	4ET,ADPGK,AIM1,AIMP2,ARG2,ARGI2,ARHGAP17,ARI1,ARIH1,CDA7L,CDCA7L,CIKS,CNO6L,CNOT6L,CRBG1,CRYBG1,CSDE1,CSRP2,EIF4ENIF1,F1892,FA46C,FAM189A2,FAM46C,FNIP2,GBG12,GDI2,GDIB,GEMI5,GEMIN5,GIT2,GLYG,GNG12,GYG1,I0CMK4,NAL11,NLRP11,NSD2,OSB10,OSBPL10,RBMX2,RHG17,RNF38,S35D1,SIN3A,SLC35D1,TENT5C,TOM34,TOMM34,TRAF3IP2,TUBB4Q,TUBB7P,VMA5A,VWA5A,WHSC1,ZBT39,ZBTB39,ZN652,ZNF652,ZSC29,ZSCAN29
8-cell stage cell (Blastomere)	C11orf48,C19orf53,DBLOH,DHX9,DIABLO,EIF1A,EIF1AD,EIF4G1,FA32A,FAM32A,GTPBP4,HDAC2,IF4G1,ISY1,KDM5B,L10K,LBHD1,MED31,NH2L1,NHP2L1,NOG1,SERTAD1,SNU13,SPT4H,SRTD1,SSA27,SSSCA1,SUPT4H1,TBC13,TBC1D13,YRDC,Z280A,ZNF280A
Abnormal plasma cell	CD138,CD38,CD56,NCAM1,SDC1
Acinar cell	AAAD,AADAC,AK1BA,AK1C1,AK1C2,AK1C3,AKR1B10,AKR1C1,AKR1C2,AKR1C3,AKR7A3,ALAT2,ALB,ALBU,ALDOB,AMPN,AMY2A,AMY2B,AMYP,AMYP1,ANPEP,AQP8,ARK73,AZGP1,BCAT1,BMI1,BMP6,C15orf48,C4B,CA12,CAH12,CBPA1,CBPA2,CBPB1,CBS,CEL,CEL2A,CEL3A,CEL3B,CELA2A,CELA3A,CELA3B,CLPS,CO4B,COL,CPA1,CPA2,CPB1,CTRB1,CTRB2,CTRC,CTRL,CUZD1,CXCL17,CXL17,DOXA2,DPEP1,DUOX2,DUOXA2,ECE2,EFHD2,ERP27,FAM129A,FGL1,GALNT7,GALT7,GNL3,GP2,GPT2,GSTA1,GSTA2,HAMP,HEPC,IKBA,IL32,ISK1,KAIN,KCD14,KCTD14,KLK1,LAT3,LEG2,LGALS2,LIPP,LIPR1,LIPR2,LYSC,LYZ,MAT1A,METK1,MFRN1,MGST1,MUC1,NFKBIA,NIBAN,NUPR1,PA21B,PDIA2,PLA2G1B,PLTP,PNLIP,PNLIPRP1,PNLIPRP2,PPIF,PRSS1,PRSS2,PRSS3,PRSS3P2,PSAT1,PTGR1,RARR2,RARRES2,REG1A,REG1B,REG3A,REG3G,RNAS1,RNASE1,RP11-520H11.1,RP6-149D17.1,S38A5,S39A5,SDC4,SERC,SERPINA4,SERPINI2,SGK1,SGMR2,SLC25A37,SLC38A5,SLC39A5,SLC43A1,SOD2,SODM,SPI2,SPINK1,SYCN,TIFA,TMEM97,TMPRSS2,TMPS2,TPD52L1,TPD53,TPST2,TRIB2,TRY1,TRY2,TRY3,TRY6,U66061.39,UGDH,YBOX3,YBX3,ZA2G,ZDHC9,ZDHHC9
Activated B cell	CD19,CD5,CD86,MHC class II,TAGL2,TAGLN2
Activated CD4+ T cell	CCR6,CD14,CD19,CD25,CD29,CD38,CD4,CD45RA,CD45RO,CD69,CD71,CXCR3,IL2RA,ITB1,ITGB1,PTPRC,TFR1,TFRC
Activated T cell	CD134,CD137,CD154,CD25,CD27,CD28,CD3,CD3D,CD3E,CD3G,CD4,CD40L,CD40LG,CD69,CD8,CD8A,CD95,FAS,IL2RA,Ki67,KI67,KLRG1,MKI67,TNFRSF4,TNFRSF9,TNR4,TNR6,TNR9
Adipocyte progenitor cell	AWT1,bHLHa39,C/EBP-alpha,CCN5,CEBP,CEBPA,CLEVER-1,COE2,CTGF-L,Dermo-1,DERMO1,EBF2,EGFR,EHZF,ERBB,ERBB1,Evi3,FEEL-1,FELE-1,FEX1,FGF10,FLJ11500,FLJ23907,FZD11,GATA3,GLI,GLI1,GSC,GUD,HDR,HOX3A,HOX3B,HOX3C,HOX3E,HOXC4,HOXC6,HOXC8,HOXC9,KIAA0246,MGC45780,MMP3,NET33,NPHS4,NR1C3,NRG4,PPARG,PPARG1,PPARG2,PPARgamma,SCARA5,SCARH2,SMO,SMOH,STAB-1,STAB1,STE,STMY,STMY1,SULT1E1,TCF3,TCF7L1,TWIST2,WISP2,WIT-2,WT1,ZNF521
Adipocytes	4-1BB,A-FABP,A2MR,AAAT,ACAD7,ACADSB,ACDC,ACRP30,ACS1,ACSL1,ACTHR,ACVR1C,ACVRLK7,ADAM12,ADAMTS11,ADAMTS5,ADH1,adiponectin,AdipoQ,ADIPOQ,ADM2,ADMP-2,ADN,ADRB1,ADRB1R,ADRB2,ADRB2R,ADRB3,ADRBR,ADSF,AGT,AIS,ALDOS,ALK7,AM2,ANGPTL2,AOC3,aP2,apM1,APOC1,APOER,APOL-VI,APOL6,APOLVI,APPL2,AQP5,AR,ARMD10,ARMD9,ARNO3,ARNT,ASCT2,ATGL,AZGP1,B2AR,BCAM,BCAT2,BCT2,bHLHa23,bHLHe2,bHLHe33,BMP-3b,BPIFD2,BRESI1,BZRP,C16orf23,C3,C3a,C3b,CAR3,cavin-1,CAVIN1,CCL11,CD137,CD282,CD284,CD344,CD91,CDO1,CED-6,CED6,CFD,CGL4,CIDE-3,CIDE-A,CIDEA,CIDEC,CIG-30,CIP4,Cish1,CITED1,CLG4,CLG4A,CLGI,COE2,COL5A3,COL6A2,CP1B,CPAMD1,CPPED1,CPT1-M,CPT1B,CPX-1,CPX1,CPXM,CPXM1,CREB3L1,CRNDE,CRNDEP,CSTP1,CTX,CYP11B2,CYP11BL,CYP1B1,CYP27,CYP27A1,CYTH3,cytohesin-3,D12S1644,DBI,DEP.6,DEPDC6,DEPTOR,desnutrin,DF,DHQU,DHTR,DIA4,DIP13B,DPT,EBF2,Ebfaz,EGFR,ELOVL3,Em:AC068892.1,eotaxin,EPC-1,EPSTI1,ERBB,ERBB1,ESM1,FAB1,FABP4,FACL1,FACL2,FFA2R,FFAR2,FGF7,FIZZ3,FLJ10659,FLJ11151,FLJ11500,FLJ12428,FLJ14440,FLJ14495,FLJ20871,FLJ21047,FLJ21135,FLJ23153,FMO1,FP17548,Fsp27,FST,FZD4,GBP28,GDF10,GLC3A,GLUT4,GPR43,GRP1,GULP,GULP1,H6PD,HcGIP1,HIF-1beta,hOAZ,HOX3B,HOXC9,HP10433,HPAO,HSD11,HSD11B,HSD11B1,HSTP,hToll,HUMARA,IGFBP3R1,IL-4-STAT,ILA,iPLA2zeta,JAB,JBTS19,KGF,KIAA0188,KIAA0760,KIAA0981,KIAA1675,KMT8F,LACS,LACS1,LBP,LEP,LGALS12,Lhx7,LHX8,LINC00180,LOC643911,LOX,LPIN1,LRP1,LRP1A,LXR-a,LXRa,M-CPT1,M7V1,MAOB,MBR,MC2R,MCMPMltna,mDRC,MEL1,MEST,METRN,METRNL,MGC166915,MGC17211,MGC22554,MGC2277,MGC2601,MGC29634,MGC35010,MGC3936,MGC40423,MGST-IV,MGST1-L1,MGST1L1,MLTN,MMP2,MNDA,MPZL1,MSG1,MT2,MT2A,MYO1C,myr2,NMB,NMOR1,NNMT,NPHP14,NQO1,NR1C3,NR1H3,NR3C4,OASIS,OBS,OSF-2,P-450C18,P-PST,p235,P2RX5,P2X5,P450aldo,PAT2,PBR,PCK1,PDE3B,PEDF,PEG1,PEPCK-C,periostin,PFD,PFM13,PGC-1alpha,PGC1,PGC1A,PIG12,PIG35,PIKfyve,PIKFYVE,PIP5K,PIP5K3,pk18,PKBS,PLIN,PLIN1,PLZF,PMP22,PN,PNPLA2,POD1,POSTN,PPARG,PPARG1,PPARG2,PPARgamma,PPARGC1,PPARGC1A,PRDM16,PRO3113,PSCD3,PTGES,PTRF,PXMP2,PYHIN3,PZR,QR1,RARRES2,RDRC,RETN,RETN1,RLD-1,RSPO3,SBCAD,SBMA,SchLAH,SCYA11,SDR26C1,SERPINA8,SERPINF1,SLC1A5,SLC25A7,SLC2A4,SLC36A2,SMAX1,SOCS-1,SOCS1,SSI-1,STAMP2,STAT6,STEAP4,STOT,STP1,SULT1A1,SYAP1,TBE-1,TBX1,TCF21,TFE3,TFEA,THSD2,TIARP,TIG2,TIL4,TIMP,TIMP1,TIP3,TLR-4,TLR2,TLR4,TMEM26,TNFAIP9,TNFRSF9,TP53I12,TRAMD1,tramdorin,TRIP10,TSPO,TTS-2.2,TUSC5,UCP,UCP1,VAP-1,VAP1,VCF,XDH,XO,XOR,ZA2G,ZAG,ZBTB16,Zfp104,ZFYVE29,ZNF145,ZNF423
